standard_station_id,year,index
SKO2,2021,NA
SKO2,2022,0
SKO2,2023,0.43
SKO2,2024,0.7
SMO,2014,NA
SMO,2015,NA
SMO,2016,NA
SMO,2017,NA
SMO,2018,NA
SMO,2019,0
SMO,2020,0
SMO,2021,NA
SMO,2022,NA
SMO,2023,NA
SMO,2024,NA
SQM1,2014,NA
SQM1,2015,NA
SQM1,2016,NA
SQM1,2017,NA
SQM1,2018,NA
SQM1,2019,1.52
SQM1,2020,0.62
SQM1,2021,0.22
SQM1,2022,0.03
SQM1,2023,2.93
SQM1,2024,0.23
SQM2,2014,NA
SQM2,2015,NA
SQM2,2016,NA
SQM2,2017,NA
SQM2,2018,NA
SQM2,2019,1
SQM2,2020,2.37
SQM2,2021,NA
SQM2,2022,NA
SQM2,2023,NA
SQM2,2024,NA
SQX1,2014,NA
SQX1,2015,NA
SQX1,2016,NA
SQX1,2017,NA
SQX1,2018,NA
SQX1,2019,0
SQX1,2020,0.03
SQX1,2021,NA
SQX1,2022,NA
SQX1,2023,0.08
SQX1,2024,0.08
SQX2,2014,NA
SQX2,2015,NA
SQX2,2016,NA
SQX2,2017,NA
SQX2,2018,NA
SQX2,2019,0
SQX2,2020,0
SQX2,2021,0.11
SQX2,2022,NA
SQX2,2023,0
SQX2,2024,0
TUR,2014,NA
TUR,2015,NA
TUR,2016,NA
TUR,2017,NA
TUR,2018,NA
TUR,2019,NA
TUR,2020,NA
TUR,2021,NA
TUR,2022,0
TUR,2023,0
TUR,2024,0
